№;Код;Наименование товаров / Наименование англ.;Упаковка;Ед.;Цена, р. за ед.
154;57567;Сосиски куриные с телят Чернышевск 17см ?22мм 60гр/шт 720гр/уп в/у МПК Обнинский (КОД 57567) (-18°С);7х720гр;упак.;205,63
;;;;;
155;59370;Сосиски Молочные ~90гр/шт 20см ?24мм 900гр в/у ГОСТ ХотДогБульдог Полоусов (КОД 59370) (-18°С);15х900гр;упак.;377,99
;;;;;
156;59565;Сосиски свиные белые ~90гр/шт 20см ?24мм 900гр в/у ХотДогБульдог Полоусов (КОД 59565) (-18°С);15х900гр;упак.;378
;;;;;
157;54701;Сосиски Филейные из птицы ~100гр/шт 20см ?26мм 1,2кг/уп в/у Обнинский МПК Россия (КОД 54701) (-18°С);6х1,2кг;упак.;330,48
;;;;;
158;46766;Сосиски Филейные из птицы зам б/оболоч 60гр 17см ?22мм 720гр в/у Обнинский МПК (КОД 46766) (-18°С);7х720гр;упак.;183,38
;;;;;
;;Сосиски Ремит /;;;
159;56256;Сосиски Австрийские свиные зам в/м в/у 75 гр/шт 750гр/уп Ремит (80052) (КОД 56256) (-18°С);12*750 гр;упак.;437,05
;;;;;
160;12376;Сосиски Для хот-догов из говядины зам в/у 75гр/шт 750гр/упак Ремит (86888) (КОД 12376) (-18°С);12*750гр;упак.;629,94
;;;;;
161;13013;Сосиски Для хот-догов из свинины зам. в/у, 75гр\шт, 750гр\упак, Ремит 86874 (КОД 13013) (-18°С);12*750гр;упак.;424,6
;;;;;
162;56260;Сосиски Чикен-спайси куриные зам в/м в/у 75 гр/шт 750гр/уп Ремит (80050) (КОД 56260) (-18°С);12х750гр;упак.;388,43
;;;;;
;;Мясная кулинария /;;;
163;59022;Котлета для гамбургера баранина ?120мм 120гр 7кг/кор Мясной клуб (КОР) (КОД 59022) (-18°С);7кг;кор;3 822,01
;;;;;
164;59025;Котлета для гамбургера баранина ?120мм 180гр 8кг/кор Мясной клуб (КОР) (КОД 59025) (-18°С);8кг;кор;4 368,00
;;;;;
165;21266;Котлета для гамбургера говядина 70/30 130гр ?105мм 13,65кг/кор Primebeef (66069) (КОД 21266)(-18°С);13,650кг;кор;7 575,76
;;;;;
166;21099;Котлета для гамбургера говядина 70/30 160гр?105мм 14,400кг/кор Primebeef (66064) (КОД 21099) (-18°С);14,400кг;кор;8 269,25
;;;;;
167;21098;Котлета для гамбургера говядина 70/30 180гр ?105мм 10,800кг/кор Primebeef (66067)(КОД 21098)(-18°С);10,800кг;кор;6 179,25
;;;;;
168;58299;Котлета для гамбургера говядина 70/30 180гр ?105мм 13,5кг/кор Primebeef™ (67083) (КОР) (КОД 58299) (-18°С);13,5кг;кор;6 500,00
;;;;;
169;59021;Котлета для гамбургера говядина ?120мм 180гр 8кг/кор Мясной клуб (КОР) (КОД 59021) (-18°С);8кг;кор;3 584,00
;;;;;
170;60055;Котлета для гамбургера говядина ?120мм 180гр 8кг/кор Мясной клуб (ФР) (КОР) (КОД 60055) (-18°С);8кг;кор;3 729,61
;;;;;
171;59497;Котлета для гамбургера куриная ?100мм 60гр 7кг/кор Мясной клуб (КОР) (КОД 59497) (-18°С);7кг;кор;2 184,00
;;;;;
172;59014;Котлета для гамбургера куриная ?120мм 150гр 8кг/кор Мясной клуб (КОР) (КОД 59014) (-18°С);8кг;кор;2 592,00
;;;;;
173;59649;Котлета для гамбургера куриная в темпуре ?120мм 110гр 2кг/пакет Серволюкс Беларусь (КОД 59649) (-18°С);6х2кг;шт;732,5
;;;;;
;;Птица / Poultry;;;
;;Дичь /;;;
;;Перепела /;;;
174;55791;Перепела целые ~200-250гр х2шт/лоток ГОСТ Перепелиный край Россия (КОД 55791) (-18°С);~0,4-0,5кг;кг;643,5
;;;;;
;;Индейка / Turkey;;;
175;31044;Индейка голень н/к с кожей самка ~500гр в/у Индилайт® ПензаМолИнвест (КОД 31044)(-18°С);~500гр х14;кг;314,93
;;;;;
176;60473;Индейка филе бедра 10кг/кор Халяль Индилайт® Индюшкин двор Россия (51524) (КОР) (КОД 60473) (-18°С);10кг;кор;5 681,25
;;;;;
177;57159;Наггетсы из индейки классические запеченные 260гр/пакет Индилайт™ Россия (КОД 57159) (-18°С);14х260гр;шт;109,87
;;;;;
178;59274;Наггетсы из индейки классические запеченные 800гр/пакет Индилайт™ Россия (4367) (КОД 59274) (-18°С);10х800гр;шт;281,74
;;;;;
;;Курица / Chicken;;;
;;Бедра куриные / Thighs;;;
179;56150;Куриное бедро (филе) б/к без кожи ~0,75кг/лот Петруха® (ПУ) (КОД 56150) (-18°С);~750грх16;кг;530,26
;;;;;
180;34819;Куриное бедро (филе) б/к без кожи Имперские 2,5кг в/у Дарптица® Кура-Ру Россия (КОД 34819) (-18°С);8х2,5кг;шт;1 170,48
;;;;;
181;13354;Куриное бедро н/кости, с кожей, лоток, ГОСТ, Благояр, Ресурс Юг, (М305) (КОД 13354) (-18°С);8кг;кг;252,51
;;Chicken thighs bone in, skin on, Resource South;;;
;;Крылья куриные /;;;
182;59133;"Куриное крыло 2-х фаланговое 2 части разд 11кг/кор п/ф для жарки ""Премиум"" Курников (КОР) (КОД 59133) (-18°С)";11кг;кор;3 180,23
;;;;;
183;99335;"Куриное крыло 2-х фаланговое целое 11кг/кор п/ф для жарки ""Премиум"" Курников (КОР)  (КОД 99335) (-18°С)";11кг;кор;3 717,12
;;;;;
184;20427;Куриное крыло 2-х фаланговое, 2 части разр, Имперские, 2,5кг/пак,ДарПтица,Кура-Ру(КОД 20427) (-18°С);8*2,5 кг;шт;936,52
;;;;;
185;15624;Куриное крыло 3-х фаланговое, лоток, Благояр, Россия (м308) (КОД 15624) (-18°С);9кг;кг;286,43
;;Сhicken wings 3 phalanges, Russia;;;
;;Куриная кулинария /;;;
186;58295;Куриная грудка целая вар/копч с кожей зам ~600гр в/у сорт Экстра Павловская курочка™ Россия (КОД 58295)(-18°С);~3кг;кг;357,5
;;;;;
187;56147;"Шаурма из мяса курицы ""Донер"" 5кг/бабина Халяль Серволюкс™ Россия (287867) (ПУ) (КОД 56147) (-18°С)";2х5кг;шт;1 546,56
;;;;;
;;Окорочка куриные / Legs;;;
188;13486;Куриная голень н/к с кожей ~0,8-1кг лоток Байсад, Россия (КОД 13486) (-18°С);12кг;кг;229,77
;;Chicken drumsticks, tray, frozen, Baisad, Russia;;;
189;59702;Куриная голень н/к с кожей ~600гр/лоток ГОСТ Птицефабрика Зеленецкая (КОД 59702) (-18°С);14х~600гр;кг;261,09
;;;;;
190;57983;Куриная голень н/к с кожей 825гр/пакет Ярославский бройлер Россия (КОД 57983) (-18°С);8х825гр;шт;206,05
;;;;;
191;15764;"Куриная голень, лоток, с\м,  ""Благояр"" Россия (М306) (КОД 15764) (-18°С)";8кг;кг;251,81
;;;не бьется;;
192;10258;Куриный окорочок ~0,9 кг лоток Благояр® Россия (М309) (ПУ) (КОД 10258) (-18°С);8кг;кг;236,53
;;"Chicken leg, tray, frozen, 8kg/box, ""Resurs Yug"", Russia";;;
193;13826;Куриный окорочок 15кг блок шок.зам Ресурс Юг Россия (М461) (КОР) (КОД 13826) (-18°С);15кг;кор;3 322,21
;;Chicken leg, IQF, 15kg/box, Resurs Yug, Russia;;;
194;46065;Куриный окорочок Для жарки 13кг/кор зам п/ф из мяса ЦБ Ресурс Юг (М801) (КОР) (КОД 46065)(-18°С);13кг;кор;2 538,95
;;;;;
195;57688;Куриный окорочок филе с кожей 3кг/пакет Курников Россия (КОД 57688) (-18°С);4х3кг;шт;1 065,14
;;;;;
;;Полуфабрикаты / Semi-finished products;;;
196;57556;Котлеты куриные рубленые в панировке 1кг/пакет ПФ 100 Compas Foods Россия (КОД 57556) (-18°С);16х1кг;шт;384,54
;;;;;
197;58252;Куриные стрипсы Классические 2кг/пакет Смолевичи Бройлер Беларусь (КОД 58252) (-18°С);6х2кг;шт;526,71
;;;;;
198;57559;Куриные стрипсы Оригинальные 32-55гр 1,115кг/пакет Compass Foods™ Россия (КОД 57559) (-18°С);15х1,115кг;шт;451,14
;;;;;
199;53769;Куриный Попкорн готовые кусоч в паниров 2кг Халяль Смолевичи Бройлер Беларусь (КОД 53769) (-18°С);6 х 2кг;шт;1 053,25
;;;;;
200;53770;Наггетсы куриные темпурные готовые ~20гр 2кг/пакет Халяль Смолевичи Беларусь (КОД 53770) (-18°С);6 х 2кг;шт;730,62
;;;;;
201;57868;Наггетсы куриные темпурные готовые 1,105кг Мираторг Запад Россия (КОД 57868) (-18°С);15х1,105кг;шт;433,94
;;;;;
;;Субпродукты / Сhicken by-products;;;
202;19609;Куриная печень 500гр/лоток ГОСТ Акашево™ Россия (13418) (КОД 19609) (-18°С);8х500гр;шт;82,38
;;;не бьется;;
203;51383;Куриная печень 800-900гр~/лоток с/м Приосколье Россия (КОД 51383) (-18°С);10кг;кг;144,82
;;Сhicken liver, frozen, tray, Prioskol'ye, Russia;;;
;;Тушка курицы / Whole chicken;;;
204;99071;"Цыплята 0,9 кг, ""Байсад"", 14шт/кор, Россия (ШТ) (КОД 99071) (-18°С)";14х900гр;шт;229,91
;;"Chicken 900g\pc, frozen, ""Baysad"", Russia";;;
205;60324;Цыплята 1,3-1.5кг~ пакет 1-й сорт ГОСТ Возрождение Россия (КОД 60324) (-18°С);10х~1,3-1.5кг;кг;243,66
;;;;;
206;93439;Цыплята 1,85 кг~ пакет Приосколье™ Россия (КОД 93439) (-18°С);~13кг;кг;277,75
;;Chicken 1,85kg\pc, frozen, Prioskol'ye, Russia;не бьется;;
207;57242;Цыплята 300-380гр~ тушка корнишона пакет ~9-10кг/кор ИП Меров Россия (КОР) (КОД 57242) (-18°С);~9-10кг;кг;315,63
;;;;;
208;57243;Цыплята 400-480гр~ тушка корнишона пакет ~9-10кг/кор ИП Меров Россия (КОР) (КОД 57243) (-18°С);~9-10кг;кг;315,63
;;;;;
209;59055;Цыплята 500гр+ тушка корнишона пакет ИП Меров Россия (КОД 59055) (-18°С);~11кг;кг;315,63
;;;;;
;;Филе куриное (грудка) /;;;
210;34544;"Куриное филе грудки 2,5кг/пакет п/ф ""Имперский"" Дарптица® Россия (КОД 34544) (-18°С)";8х2,5кг;шт;1 170,48
;;;;;
211;59837;Куриное филе грудки б/кожи ~0,8кг/лоток Приосколье Россия (КОД 59837) (-18°С);12х~0,8кг;кг;441,87
;;;;;
212;59694;Куриное филе грудки б/кожи ~0.8кг/пакет Ярославский бройлер Россия (КОД 59694) (-18°С);11х~0.8кг;кг;441,87
;;;;;
213;55701;Куриное филе грудки запеченное нарезанное 2кг/пакет Халяль Смолевичи Бройлер Беларусь (КОД 55701) (-18°С);6х2кг;шт;1 017,53
;;;;;
214;45669;Куриное филе порц. 180/200, лоток, Приосколье, Россия (КОД 45669) (-18°С);10кг;кг;392,01
;;Chicken breast fillet, 180g, frozen, tray, Prioskol'e, Russia;не бьется;;
215;45694;Куриное филе порц. без кожи ~0,4-0,8кг/лоток Рефтинская птицефабрика Россия (КОД 45694) (-18°С);~7кг;кг;434,81
;;;;;
216;16796;Куриное филе порц., зам. Для жарки, 11кг/кор, ТУ, Эконом, Курников (КОР) (КОД 16796) (-18°С);11кг;кор;3 460,84
;;;;;
;;Утка / Duck;;;
;;Ножки утиные /;;;
217;41052;"Утка окорочок с кожей ""Утенок"" ~500-700гр/лоток  Озёрка™ пр-т Дамате Россия (КОД 41052) (-18°С)";~6-8,4 кг;кг;543,09
;;;;;
218;40733;Утка окорочок с кожей ~750гр/лоток Птицефабрика Центральная Россия (КОД 40733) (-18°С);~9 кг;кг;555,59
;;;;;
219;32963;Утка окорочок с кожей Особый ~670гр/лоток Птицефабрика Центральная Россия (КОД 32963) (-18°С);~8кг;кг;479,74
;;;;;
;;Печень утиная, террины /;;;
220;15225;"Утка, печень Фуа-Гра 450-600гр в/у высший сорт ""Золото"" Колос Беларусь (КОД 15225) (-18°С)";~3кг;кг;5 539,60
;;;;;
;;Утка целиком /;;;
221;48509;Утка ~2-2,9кг тушка потр пакет 1-й сорт ГОСТ Утиная Ферма™ птф Центральная (КОД 48509)(-18°С);5х~2-2,9кг;кг;297,14
;;;;;
222;46109;Утка ~2,2-2,3кг/пакет тушка утенка потр 1сорт ГОСТ Озёрка™ пр-т Дамате Россия (КОД 46109) (-18°С);4х~2,2-2,3кг;кг;312,35
;;;;;
;;Филе утиное /;;;
223;41053;"Утка, филе грудки на коже ""Утенок"" ~400-600гр лоток Озёрка™ пр-т Дамате, Россия (КОД 41053) (-18°С)";~6-8,4кг;кг;674,19
;;;;;
224;32962;Утка, филе грудки на коже большое ~200-400гр х2-3/лоток Утиная Ферма™ Россия (КОД 32962) (-18°С);~5кг;кг;675,43
